_id,bicis_disponibles,direccion,fecha,huecos_libres,id_estacion
2,0,Salvador Giner - C. Museo,03/12/2023 05:49:49,15,2
3,1,Plaza del Musico López Chavarri,03/12/2023 05:49:49,18,3
5,1,Plaza Poeta Llorente,03/12/2023 05:49:49,14,5
6,2,Guillem de Castro - San Pedro Pascual,03/12/2023 05:49:49,13,6
8,0,Plaza de la Reina - Mar,03/12/2023 05:49:49,9,8
13,0,Alfonso el Magnánimo - Nave,03/12/2023 05:49:49,24,13
14,0,Huesca - Barón de Cárcer,03/12/2023 05:49:49,20,14
17,2,Xátiva - Bailén (Estación del Norte),03/12/2023 05:49:49,28,17
18,0,Colón 20-22,03/12/2023 05:49:49,24,18
19,8,Juan Llorens - Quart,03/12/2023 05:49:49,6,19
25,11,"Alberique, 18 (Abastos)",03/12/2023 05:49:49,12,25
26,1,San José de Calasanz - Salas Quiroga,03/12/2023 05:49:49,12,26
31,1,Salamanca - Conde Altea,03/12/2023 05:49:49,18,31
33,2,Germanías - Ruzafa,03/12/2023 05:49:49,18,33
38,7,Peris y Valero - Cabo Jubi,03/12/2023 05:49:49,8,38
40,1,"Barcas, 11",03/12/2023 05:49:49,25,40
41,6,General Urrutia - Granada,03/12/2023 05:49:49,14,41
44,11,General Urrutia - Av. de la Plata,03/12/2023 05:49:49,8,44
46,19,Pintor Luis Arcas - Inst. Obrero Valenciano,03/12/2023 05:49:49,0,46
50,9,Autopista del Saler - Antonio Ferrandis (C.C. El Saler),03/12/2023 05:49:49,31,50
54,18,Plaza de Europa,03/12/2023 05:49:49,2,54
56,15,Francia - Menorca,03/12/2023 05:49:49,0,56
57,8,Alameda - Pintor Monleón,03/12/2023 05:49:49,10,57
65,14,Av. Puerto - Doctor Manuel Candela,03/12/2023 05:49:49,5,65
67,14,Juan Verdeguer - Toneleros,03/12/2023 05:49:49,0,67
72,15,Ramiro de Maeztu - Peris Brell,03/12/2023 05:49:49,0,72
78,8,Aragón - Vicente Sancho Tello,03/12/2023 05:49:49,12,78
